"url","date","tags"
"https://www.youtube.com/watch?v=NOWxRMsFu_M",2022-09-15,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=tBbMGwh7Hqc",2022-09-14,"NA"
"https://www.youtube.com/watch?v=qIBzDmPFdAM",2022-09-13,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=lQ2rGDzL5tQ",2022-09-13,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=BQ8Ou_niTXc",2022-09-13,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=n6pfK2W7zKk",2022-09-12,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=h3BlG8d-lAE",2022-09-08,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=BdtxQ1Q7fr8",2022-09-03,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=a55uGQmqJeI",2022-09-03,"NA"
"https://www.youtube.com/watch?v=O93empps_JA",2022-09-01,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=O59ho5snrug",2022-09-01,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=_J5imXRjx_4",2022-09-01,"NA"
"https://www.youtube.com/watch?v=v5VpLh-giYc",2022-08-30,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=Q3Ra_Br2bOA",2022-08-27,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=RNmAN93FEds",2022-08-26,"NA"
"https://www.youtube.com/watch?v=i0MI7g5-6Cw",2022-08-23,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=0zcHofKCDvY",2022-08-23,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=Ku37yGHHpFM",2022-08-22,"NA"
"https://www.youtube.com/watch?v=o1hobNnv8P4",2022-08-21,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=ykZMCgg_QbA",2022-08-21,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=AAnvh0rXPPY",2022-08-21,"NA"
"https://www.youtube.com/watch?v=4KRfZg3G9vc",2022-08-19,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=kgpTWxDh2XA",2022-08-19,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=UFukk77GXbo",2022-08-16,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=KQzPQQ_KRVI",2022-08-13,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=D5Giox9YbHM",2022-08-13,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=MHsUdmVltlI",2022-08-10,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=AGsOGvsrEIc",2022-08-06,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=iQSKXui4yhE",2022-08-05,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=_pA65cTr818",2022-08-04,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=r1HiIKkA0pY",2022-08-03,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=QXFQwqRi9aA",2022-08-03,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=rZC4BXj-dTo",2022-08-02,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=TsBGiUv91y8",2022-07-28,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=9Ca9vBrG5ks",2022-07-26,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=9g4DAaET0ro",2022-07-25,"canadian politics,pierre Poilievre,house of commons,Canada,parliament of Canada,justin trudeau,liberal party of Canada,conservative,conservative party of Canada,Stephen harper,rona ambrose,andrew scheer,liberal,liberal,party,of,canada,trudeau,scheer,Harper,mgtow,shapiro,Ben,shapiro"
"https://www.youtube.com/watch?v=h5KFg8WCGDs",2022-07-25,"NA"
