"date","region","cumulative_deaths","deaths"
2020-03-18,"Central (excluding Saskatoon)",0,0
2020-03-18,"Far North",0,0
2020-03-18,"North",0,0
2020-03-18,"Regina",0,0
2020-03-18,"Saskatoon",0,0
2020-03-18,"South (excluding Regina)",0,0
2020-03-19,"Central (excluding Saskatoon)",0,0
2020-03-19,"Far North",0,0
2020-03-19,"North",0,0
2020-03-19,"Regina",0,0
2020-03-19,"Saskatoon",0,0
2020-03-19,"South (excluding Regina)",0,0
2020-03-20,"Central (excluding Saskatoon)",0,0
2020-03-20,"Far North",0,0
2020-03-20,"North",0,0
2020-03-20,"Regina",0,0
2020-03-20,"Saskatoon",0,0
2020-03-20,"South (excluding Regina)",0,0
2020-03-21,"Central (excluding Saskatoon)",0,0
2020-03-21,"Far North",0,0
2020-03-21,"North",0,0
2020-03-21,"Regina",0,0
2020-03-21,"Saskatoon",0,0
2020-03-21,"South (excluding Regina)",0,0
2020-03-22,"Central (excluding Saskatoon)",0,0
2020-03-22,"Far North",0,0
2020-03-22,"North",0,0
2020-03-22,"Regina",0,0
2020-03-22,"Saskatoon",0,0
2020-03-22,"South (excluding Regina)",0,0
2020-03-23,"Central (excluding Saskatoon)",0,0
2020-03-23,"Far North",0,0
2020-03-23,"North",0,0
2020-03-23,"Regina",0,0
2020-03-23,"Saskatoon",0,0
2020-03-23,"South (excluding Regina)",0,0
2020-03-24,"Central (excluding Saskatoon)",0,0
2020-03-24,"Far North",0,0
2020-03-24,"North",0,0
2020-03-24,"Regina",0,0
2020-03-24,"Saskatoon",0,0
2020-03-24,"South (excluding Regina)",0,0
2020-03-25,"Central (excluding Saskatoon)",0,0
2020-03-25,"Far North",0,0
2020-03-25,"North",0,0
2020-03-25,"Regina",0,0
2020-03-25,"Saskatoon",0,0
2020-03-25,"South (excluding Regina)",0,0
2020-03-26,"Central (excluding Saskatoon)",0,0
2020-03-26,"Far North",0,0
2020-03-26,"North",0,0
2020-03-26,"Regina",0,0
2020-03-26,"Saskatoon",0,0
2020-03-26,"South (excluding Regina)",0,0
2020-03-27,"Central (excluding Saskatoon)",0,0
2020-03-27,"Far North",0,0
2020-03-27,"North",0,0
2020-03-27,"Regina",0,0
2020-03-27,"Saskatoon",0,0
2020-03-27,"South (excluding Regina)",0,0
2020-03-28,"Central (excluding Saskatoon)",0,0
2020-03-28,"Far North",0,0
2020-03-28,"North",0,0
2020-03-28,"Regina",0,0
2020-03-28,"Saskatoon",0,0
2020-03-28,"South (excluding Regina)",0,0
2020-03-29,"Central (excluding Saskatoon)",0,0
2020-03-29,"Far North",0,0
2020-03-29,"North",0,0
2020-03-29,"Regina",0,0
2020-03-29,"Saskatoon",0,0
2020-03-29,"South (excluding Regina)",0,0
2020-03-30,"Central (excluding Saskatoon)",0,0
2020-03-30,"Far North",0,0
2020-03-30,"North",0,0
